Geneid,Length,Mock_1,Mock_2,Mock_3,ZIKA_1,ZIKA_2,ZIKA_3
ENSG00000142611,9767,1,4,21,26,26,38
ENSG00000284616,1225,0,0,0,0,0,0
ENSG00000157911,3782,638.5,955,1289,456,959.5,839.5
ENSG00000260972,1697,0,0,0,0,0,0
ENSG00000224340,337,1,0,0,0,2,0
ENSG00000229280,372,0,0,0,0,0,0
ENSG00000142655,2932,627,925.5,1151.88,587,1008.5,911.5
ENSG00000232596,3328,0,0,0,0,0,0
ENSG00000231510,449,0,0,0,0,0,0
ENSG00000149527,10809,14.5,10.5,30,17.5,22,21
ENSG00000171621,3389,396,621,853,658,1204,957
ENSG00000272235,3461,0,0,0,1,0,1
ENSG00000284694,3402,0,0,0,0,0,0
ENSG00000224387,455,0,1,0,0,2,1
ENSG00000142583,6632,8.25,9,10.33,9,16,14
ENSG00000284674,1580,0,0,0,0,0,0
ENSG00000224338,565,0,0,0,0,0,0
ENSG00000287727,2876,2,2,6,2,4,3
ENSG00000173614,4610,201,316,479,140.83,291.5,286.5
ENSG00000215720,710,3,1,4,2,5,1
ENSG00000241326,436,21,34.5,52.5,21,31,25
ENSG00000233623,680,0,0,1,2,2,2
ENSG00000204624,6120,1,8.5,11,13,17,23.5
ENSG00000142606,3870,70.5,98.83,129.5,50,73,61.5
ENSG00000225931,1297,0,0,0.5,0,1,0
ENSG00000171729,2238,725.5,1023,1462.25,606.5,1135.5,939
ENSG00000229393,514,3,1.5,1,0.5,0,2
ENSG00000287586,3225,0,0,0,0,0,0
ENSG00000227169,356,0,0,0,0,0,0
ENSG00000283356,135,0,0,0,0,0,0
ENSG00000157916,5689,2299,3286,4819.5,1819,3334,3029.5
ENSG00000157881,5072,378,620,897,385,670,587
ENSG00000225387,491,0,0,0,0,0,0
ENSG00000048707,20768,562.5,833.5,1346.5,546,890.5,761.5
ENSG00000225196,316,0,0,0,0,0,0
ENSG00000162444,862,4,7,9,3,3,6
ENSG00000279625,1853,0,0,0,0,0,0
ENSG00000180758,5304,247,361.33,645.17,271,413.67,469.58
ENSG00000184677,9169,518.5,737,1247.5,575,983.5,914
ENSG00000285833,1051,0,1.5,1,1,1,0.5
ENSG00000131697,13167,267,409.5,542,209,337,329
ENSG00000280222,6473,0,0,0,0,0,0
ENSG00000285945,593,0,0,0,0,0,0
ENSG00000197921,1324,0,0,0,0,0,1
ENSG00000284666,609,0,0,0,1,0,1
ENSG00000234397,492,0,0,0,0,0,0
ENSG00000204138,7317,779.5,1117,1715.25,1817.58,3081.75,2851.33
ENSG00000233419,402,0,0,0,0,0,2
